id;fecha_trending;titulo;canal;categoria;visitas;likes;dislikes
mRQnwGOjEik;05/12/2017;Transmisión en vivo del LXXIII Congreso y Campeonato Nacional Charro #Hidalgo2017;Federación Mexicana de Charrería, A.C.;Sports;90025;412;41
Q_CFaU14RR4;05/12/2017;Merry Christmas 2018 - Top Christmas Songs Playlist 2018 - Best Songs Of Christmas 2018;EDM Media;Entertainment;60989;0;0
UWqDVionYcU;05/12/2017;Resumen Tigres 3 - 0 América | Apertura 2017 - Semifinal | Televisa Deportes;Televisa Deportes;Sports;219567;1272;187
TXHHkndXtdQ;05/12/2017;Mozart Música Clásica Relajante de Piano para Estudiar y Concentrarse, Trabajar, Relajarse, Leer;Live your Dreams;Music;32270;318;31
25zdDxuq8QM;05/12/2017;Joan Sebastian,Juan Gabriel EXITOS Sus Mejores Canciones MIX - viejitas pero bonitas de los 80 y 90;Mix Bandas;People & Blogs;13694;65;17
qneEyNuUiu8;05/12/2017;Grupo Niche - Cali pachanguero;Grupo NICHE Colombia;Music;51805;111;3
YmjgBj3ENn4;05/12/2017;¡El TRONO INTERNACIONAL! | ACZINO vs WOS | VÍDEO REACCIÓN;ManelAkaForce;People & Blogs;178428;9425;755
97chyX42b2A;05/12/2017;LOS KNOCKOUTS LA VOZ DE MEXICO 2017 LIZETH GZZ VS MARIAN Y MARIEL DOMINGO 3 DE DICIEMBRE 2017;DavidGigolo2011 BlackMoon;People & Blogs;30404;340;21
E7doLYLQ05U;05/12/2017;¡NO ME ROBE NADA, DICE LA MAMA DE GERALDINE CON LAGRIMAS EN LOS OJOS!;Productora 69;People & Blogs;17004;311;33
iTsrhW3ppNU;05/12/2017;microYAPA: Trasplante;enchufetv;Comedy;824464;49335;1741
iE9F0jfjgks;05/12/2017;¿MÉXICO CAMPEÓN DEL MUNDO? | FIFA WORLD CUP RUSSIA 2018 | GAMEPLAY SKABECHE;Más SKabeche;Travel & Events;61932;7929;286
jraPu7RsQvE;05/12/2017;TOP 10 COMIDAS MÁS ASQUEROSAS DEL MUNDO!;TheWillyrex;Gaming;328459;41525;901
QnlSV-q_pUs;05/12/2017;Separación de Geraldine Bazán, Cambian look a Popotitos, Galilea y Yuri, manosean a Gomita;Revista TVNotas;Entertainment;13071;116;13
XcI5xArL_w4;05/12/2017;Mexicanicos T4 Ep7 | Chevy del 1957 (Chevrolet) y Calandria Motorizada;Rakristian;Autos & Vehicles;13653;142;9
332hq_698Rc;05/12/2017;SE ACABO LA NOVELA!! LOS CORREN DEL AMERICA Y ESTOS SERAN LOS NUEVOS REFUERZOS;Lord Fer LEE;Sports;125583;199;188
x8uYSve7ziU;05/12/2017;CONFERENCIA! Mohamed Ya Mando Mensaje a Tigres y Hablo De La Final Regia!! TIGRES TIENE MIEDO?;Xtra DEPORTES;Sports;38275;103;14
lZj1Go37BWQ;05/12/2017;Evangelio de Hoy (Lunes, 4 de Diciembre de 2017) | REFLEXIÓN | Red Católica Official;Red Católica Official;People & Blogs;62605;1503;120
r20552S92m4;05/12/2017;¡OTRO Top 10 de Episodios más RIDÍCULOS de Caso Cerrado!;WatchMojo Español;Film & Animation;401731;18370;586
Pn7J8GsFLCE;05/12/2017;José A. Meade Formidable? Está Adentro Con Jesfina Vazquez M.;Audi Luces;People & Blogs;39173;1016;44
Q7vuCH-8axg;05/12/2017;Merry Xmas 2018 - Best Christmas Songs Of All Time - Christmas Songs Ever Full Playlist;Music Box;Music;121169;359;110
6fKQXn4KlHg;05/12/2017;DjMaRiiO vs XABI ALONSO vs KOKE vs DELANTERO09;DjMaRiiO;Gaming;865078;86014;619
iQCb2V1SraI;05/12/2017;ACZINO vs WOS - Final - Final Internacional 2017 - VÍDEO REACCIÓN EN DIRECTO;Matu Alta;Entertainment;13222;176;45
n36MLHEvskc;05/12/2017;Detallas Navideños estilo Frozen Olaf :: Chuladas Creativas;ChuladasCreativas;People & Blogs;14307;1861;25
